Experiment,Method,Dataset,Metric,Improvement
all,SemSegRep,Repair,px_acc,0.4135486839
all,SemSegRep,Repair,px_acc,1.306312795
all,SemSegRep,Repair,px_acc,1.021898036
all,SemSegRep,Repair,px_acc,0.9511506137
all,SemSegRep,Repair,px_acc,1.497142893
all,SemSegRep,Repair,px_acc,0.1705022179
all,SemSegRep,Repair,px_acc,1.160031579
all,SemSegRep,Repair,px_acc,1.83212693
all,SemSegRep,Repair,px_acc,1.600811463
all,SemSegRep,Repair,px_acc,1.194124794
car,SemSegRep,Repair,px_acc,3.216760515
car,SemSegRep,Repair,px_acc,2.683105274
car,SemSegRep,Repair,px_acc,3.226403927
car,SemSegRep,Repair,px_acc,2.75222436
car,SemSegRep,Repair,px_acc,2.628278627
car,SemSegRep,Repair,px_acc,1.226238156
car,SemSegRep,Repair,px_acc,2.467246936
car,SemSegRep,Repair,px_acc,2.963051122
car,SemSegRep,Repair,px_acc,0.7142181611
car,SemSegRep,Repair,px_acc,3.139868255
dirt,SemSegRep,Repair,px_acc,0.4242400155
dirt,SemSegRep,Repair,px_acc,0.648670482
dirt,SemSegRep,Repair,px_acc,0.3164556231
dirt,SemSegRep,Repair,px_acc,-0.05924733243
dirt,SemSegRep,Repair,px_acc,0.5474485866
dirt,SemSegRep,Repair,px_acc,0.4617895144
dirt,SemSegRep,Repair,px_acc,0.6848913063
dirt,SemSegRep,Repair,px_acc,0.2898705779
dirt,SemSegRep,Repair,px_acc,0.3862419753
dirt,SemSegRep,Repair,px_acc,1.189227835
fence,SemSegRep,Repair,px_acc,1.371466437
fence,SemSegRep,Repair,px_acc,0.8365055444
fence,SemSegRep,Repair,px_acc,1.007690296
fence,SemSegRep,Repair,px_acc,0.7914801457
fence,SemSegRep,Repair,px_acc,0.9495350783
fence,SemSegRep,Repair,px_acc,1.050081031
fence,SemSegRep,Repair,px_acc,2.343980251
fence,SemSegRep,Repair,px_acc,2.358620031
fence,SemSegRep,Repair,px_acc,1.846457674
fence,SemSegRep,Repair,px_acc,2.092289143
all,Arachne,Repair,px_acc,-0.002937912967
all,Arachne,Repair,px_acc,0.5004933525
all,Arachne,Repair,px_acc,0.0409655562
all,Arachne,Repair,px_acc,0.4301951363
all,Arachne,Repair,px_acc,-0.08673297366
all,Arachne,Repair,px_acc,1.257209891
all,Arachne,Repair,px_acc,1.002644122
all,Arachne,Repair,px_acc,1.70527518
all,Arachne,Repair,px_acc,0.4478845736
all,Arachne,Repair,px_acc,0.5283028415
car,Arachne,Repair,px_acc,0.1127615012
car,Arachne,Repair,px_acc,1.201016517
car,Arachne,Repair,px_acc,1.897042368
car,Arachne,Repair,px_acc,1.037769232
car,Arachne,Repair,px_acc,-0.007294988508
car,Arachne,Repair,px_acc,0.01417554941
car,Arachne,Repair,px_acc,0.1883998525
car,Arachne,Repair,px_acc,0.2613869298
car,Arachne,Repair,px_acc,0.5884075035
car,Arachne,Repair,px_acc,0.4506740824
dirt,Arachne,Repair,px_acc,0.1995784751
dirt,Arachne,Repair,px_acc,0.3658129952
dirt,Arachne,Repair,px_acc,0.00480633586
dirt,Arachne,Repair,px_acc,0.5160340982
dirt,Arachne,Repair,px_acc,0.3163516399
dirt,Arachne,Repair,px_acc,0.05819594646
dirt,Arachne,Repair,px_acc,0.5543576944
dirt,Arachne,Repair,px_acc,0.07636990393
dirt,Arachne,Repair,px_acc,0.3375180035
dirt,Arachne,Repair,px_acc,0.1939287197
fence,Arachne,Repair,px_acc,0.2989534857
fence,Arachne,Repair,px_acc,0.291167559
fence,Arachne,Repair,px_acc,0.06863794565
fence,Arachne,Repair,px_acc,0.1434151535
fence,Arachne,Repair,px_acc,0.4863501148
fence,Arachne,Repair,px_acc,0.04609417715
fence,Arachne,Repair,px_acc,0.1004092489
fence,Arachne,Repair,px_acc,0.2491745085
fence,Arachne,Repair,px_acc,0.4622466754
fence,Arachne,Repair,px_acc,0.06036112656
all,SemSegRep,Test,px_acc,0.2854521743
all,SemSegRep,Test,px_acc,1.622024443
all,SemSegRep,Test,px_acc,1.409068349
all,SemSegRep,Test,px_acc,1.296997731
all,SemSegRep,Test,px_acc,1.773413854
all,SemSegRep,Test,px_acc,0.1675779978
all,SemSegRep,Test,px_acc,1.435124996
all,SemSegRep,Test,px_acc,1.981150946
all,SemSegRep,Test,px_acc,1.897672424
all,SemSegRep,Test,px_acc,1.523921094
car,SemSegRep,Test,px_acc,0.188384108
car,SemSegRep,Test,px_acc,0.6592711381
car,SemSegRep,Test,px_acc,0.9890875761
car,SemSegRep,Test,px_acc,0.03832770345
car,SemSegRep,Test,px_acc,0.6915038033
car,SemSegRep,Test,px_acc,0.5671635976
car,SemSegRep,Test,px_acc,1.103355187
car,SemSegRep,Test,px_acc,0.9314771809
car,SemSegRep,Test,px_acc,0.4768075183
car,SemSegRep,Test,px_acc,0.7650686534
dirt,SemSegRep,Test,px_acc,0.8238241455
dirt,SemSegRep,Test,px_acc,0.3609484286
dirt,SemSegRep,Test,px_acc,0.4637832175
dirt,SemSegRep,Test,px_acc,0.1576087133
dirt,SemSegRep,Test,px_acc,0.6174410949
dirt,SemSegRep,Test,px_acc,0.2996351819
dirt,SemSegRep,Test,px_acc,0.06643570336
dirt,SemSegRep,Test,px_acc,0.1101497937
dirt,SemSegRep,Test,px_acc,-0.1559699786
dirt,SemSegRep,Test,px_acc,0.897311832
fence,SemSegRep,Test,px_acc,0.9567731034
fence,SemSegRep,Test,px_acc,1.464425922
fence,SemSegRep,Test,px_acc,0.9626912208
fence,SemSegRep,Test,px_acc,0.8356373116
fence,SemSegRep,Test,px_acc,0.9467594962
fence,SemSegRep,Test,px_acc,0.9352196394
fence,SemSegRep,Test,px_acc,0.7583866318
fence,SemSegRep,Test,px_acc,1.46613751
fence,SemSegRep,Test,px_acc,0.8233476657
fence,SemSegRep,Test,px_acc,0.3746587401
all,Arachne,Test,px_acc,0.9261526787
all,Arachne,Test,px_acc,0.3338462216
all,Arachne,Test,px_acc,0.8674423804
all,Arachne,Test,px_acc,1.38831108
all,Arachne,Test,px_acc,0.008925461074
all,Arachne,Test,px_acc,1.525798985
all,Arachne,Test,px_acc,1.126959112
all,Arachne,Test,px_acc,2.038810228
all,Arachne,Test,px_acc,0.5181224484
all,Arachne,Test,px_acc,0.6164176239
car,Arachne,Test,px_acc,-0.05946791993
car,Arachne,Test,px_acc,0.4508720626
car,Arachne,Test,px_acc,-0.0674279648
car,Arachne,Test,px_acc,0.299817505
car,Arachne,Test,px_acc,-0.1592207932
car,Arachne,Test,px_acc,-0.1152171731
car,Arachne,Test,px_acc,-0.08688766098
car,Arachne,Test,px_acc,0.1111512379
car,Arachne,Test,px_acc,0.2029163531
car,Arachne,Test,px_acc,0.2167932099
dirt,Arachne,Test,px_acc,0.2988151938
dirt,Arachne,Test,px_acc,0.5914871892
dirt,Arachne,Test,px_acc,-0.3369118852
dirt,Arachne,Test,px_acc,0.2490019671
dirt,Arachne,Test,px_acc,0.5709202314
dirt,Arachne,Test,px_acc,0.1425820042
dirt,Arachne,Test,px_acc,0.164355987
dirt,Arachne,Test,px_acc,0.1258787376
dirt,Arachne,Test,px_acc,0.5341592495
dirt,Arachne,Test,px_acc,0.2895033822
fence,Arachne,Test,px_acc,0.3359178788
fence,Arachne,Test,px_acc,0.3179036629
fence,Arachne,Test,px_acc,0.2350752421
fence,Arachne,Test,px_acc,0.1656085793
fence,Arachne,Test,px_acc,0.2754914574
fence,Arachne,Test,px_acc,0.1581865295
fence,Arachne,Test,px_acc,0.05096669527
fence,Arachne,Test,px_acc,-0.06970797423
fence,Arachne,Test,px_acc,-0.09630221621
fence,Arachne,Test,px_acc,0.1555098439
all,SemSegRep,Repair,mIoU,1.163129481
all,SemSegRep,Repair,mIoU,2.595012809
all,SemSegRep,Repair,mIoU,1.761862886
all,SemSegRep,Repair,mIoU,1.655466315
all,SemSegRep,Repair,mIoU,2.554112344
all,SemSegRep,Repair,mIoU,0.7599246514
all,SemSegRep,Repair,mIoU,2.442536932
all,SemSegRep,Repair,mIoU,3.944373382
all,SemSegRep,Repair,mIoU,3.632383771
all,SemSegRep,Repair,mIoU,2.013261487
car,SemSegRep,Repair,mIoU,4.806986008
car,SemSegRep,Repair,mIoU,2.379705903
car,SemSegRep,Repair,mIoU,2.776202832
car,SemSegRep,Repair,mIoU,2.094899417
car,SemSegRep,Repair,mIoU,3.121995863
car,SemSegRep,Repair,mIoU,3.42729684
car,SemSegRep,Repair,mIoU,2.939673519
car,SemSegRep,Repair,mIoU,3.48541073
car,SemSegRep,Repair,mIoU,1.701435069
car,SemSegRep,Repair,mIoU,2.674802797
dirt,SemSegRep,Repair,mIoU,0.750431034
dirt,SemSegRep,Repair,mIoU,2.236542828
dirt,SemSegRep,Repair,mIoU,0.8918676066
dirt,SemSegRep,Repair,mIoU,0.7793665981
dirt,SemSegRep,Repair,mIoU,1.573043562
dirt,SemSegRep,Repair,mIoU,1.138857104
dirt,SemSegRep,Repair,mIoU,1.651909804
dirt,SemSegRep,Repair,mIoU,1.107870936
dirt,SemSegRep,Repair,mIoU,1.821211215
dirt,SemSegRep,Repair,mIoU,2.539245617
fence,SemSegRep,Repair,mIoU,2.115282905
fence,SemSegRep,Repair,mIoU,1.500600214
fence,SemSegRep,Repair,mIoU,1.49482353
fence,SemSegRep,Repair,mIoU,1.424364226
fence,SemSegRep,Repair,mIoU,1.31341881
fence,SemSegRep,Repair,mIoU,1.613193006
fence,SemSegRep,Repair,mIoU,4.859623211
fence,SemSegRep,Repair,mIoU,4.412163089
fence,SemSegRep,Repair,mIoU,3.022817718
fence,SemSegRep,Repair,mIoU,3.699056397
all,Arachne,Repair,mIoU,0.1535878241
all,Arachne,Repair,mIoU,0.05418587395
all,Arachne,Repair,mIoU,0.308450552
all,Arachne,Repair,mIoU,0.2435442686
all,Arachne,Repair,mIoU,-0.4389004526
all,Arachne,Repair,mIoU,2.73683965
all,Arachne,Repair,mIoU,1.764887916
all,Arachne,Repair,mIoU,3.696184678
all,Arachne,Repair,mIoU,0.406962257
all,Arachne,Repair,mIoU,1.113938849
car,Arachne,Repair,mIoU,1.076964934
car,Arachne,Repair,mIoU,1.549496946
car,Arachne,Repair,mIoU,2.307504632
car,Arachne,Repair,mIoU,1.574214692
car,Arachne,Repair,mIoU,0.6260035077
car,Arachne,Repair,mIoU,0.7777745963
car,Arachne,Repair,mIoU,0.8330354452
car,Arachne,Repair,mIoU,0.9556922131
car,Arachne,Repair,mIoU,1.569702087
car,Arachne,Repair,mIoU,1.575594346
dirt,Arachne,Repair,mIoU,0.2587936937
dirt,Arachne,Repair,mIoU,-0.2914005401
dirt,Arachne,Repair,mIoU,-0.9431629192
dirt,Arachne,Repair,mIoU,-0.1881166401
dirt,Arachne,Repair,mIoU,0.619023251
dirt,Arachne,Repair,mIoU,0.7004139943
dirt,Arachne,Repair,mIoU,1.567358958
dirt,Arachne,Repair,mIoU,0.4928620042
dirt,Arachne,Repair,mIoU,0.5159761014
dirt,Arachne,Repair,mIoU,0.2653928413
fence,Arachne,Repair,mIoU,-0.3481689406
fence,Arachne,Repair,mIoU,1.053935987
fence,Arachne,Repair,mIoU,-1.190554871
fence,Arachne,Repair,mIoU,-0.541863406
fence,Arachne,Repair,mIoU,-1.07899048
fence,Arachne,Repair,mIoU,0.1927947372
fence,Arachne,Repair,mIoU,0.6772998267
fence,Arachne,Repair,mIoU,1.201949819
fence,Arachne,Repair,mIoU,1.408528856
fence,Arachne,Repair,mIoU,0.3567458163
all,SemSegRep,Test,mIoU,1.002817247
all,SemSegRep,Test,mIoU,2.082034533
all,SemSegRep,Test,mIoU,1.226110218
all,SemSegRep,Test,mIoU,1.168716804
all,SemSegRep,Test,mIoU,2.140271675
all,SemSegRep,Test,mIoU,0.7886108792
all,SemSegRep,Test,mIoU,1.803252736
all,SemSegRep,Test,mIoU,3.229900232
all,SemSegRep,Test,mIoU,2.553919527
all,SemSegRep,Test,mIoU,1.318213389
car,SemSegRep,Test,mIoU,-0.7132088636
car,SemSegRep,Test,mIoU,0.3398113121
car,SemSegRep,Test,mIoU,1.810305083
car,SemSegRep,Test,mIoU,0.3437265257
car,SemSegRep,Test,mIoU,0.8704104356
car,SemSegRep,Test,mIoU,0.9379653447
car,SemSegRep,Test,mIoU,1.791711229
car,SemSegRep,Test,mIoU,0.7439693664
car,SemSegRep,Test,mIoU,1.013955199
car,SemSegRep,Test,mIoU,0.8420180177
dirt,SemSegRep,Test,mIoU,1.329414843
dirt,SemSegRep,Test,mIoU,1.023675436
dirt,SemSegRep,Test,mIoU,1.044527477
dirt,SemSegRep,Test,mIoU,0.7139607663
dirt,SemSegRep,Test,mIoU,1.588270014
dirt,SemSegRep,Test,mIoU,0.3487457318
dirt,SemSegRep,Test,mIoU,0.5906479113
dirt,SemSegRep,Test,mIoU,-0.1077325461
dirt,SemSegRep,Test,mIoU,1.189805241
dirt,SemSegRep,Test,mIoU,1.335254515
fence,SemSegRep,Test,mIoU,0.9685283496
fence,SemSegRep,Test,mIoU,2.367990478
fence,SemSegRep,Test,mIoU,1.757359366
fence,SemSegRep,Test,mIoU,1.542669163
fence,SemSegRep,Test,mIoU,1.450691987
fence,SemSegRep,Test,mIoU,1.403319226
fence,SemSegRep,Test,mIoU,-0.4936433756
fence,SemSegRep,Test,mIoU,1.598517253
fence,SemSegRep,Test,mIoU,0.3054359801
fence,SemSegRep,Test,mIoU,-1.130771571
all,Arachne,Test,mIoU,1.576364856
all,Arachne,Test,mIoU,0.810566453
all,Arachne,Test,mIoU,1.247165065
all,Arachne,Test,mIoU,2.718895211
all,Arachne,Test,mIoU,0.06653912785
all,Arachne,Test,mIoU,2.196792896
all,Arachne,Test,mIoU,1.49305769
all,Arachne,Test,mIoU,3.483494872
all,Arachne,Test,mIoU,1.298794435
all,Arachne,Test,mIoU,1.292295989
car,Arachne,Test,mIoU,-0.2862098134
car,Arachne,Test,mIoU,0.179643268
car,Arachne,Test,mIoU,-0.4872021347
car,Arachne,Test,mIoU,0.1314496643
car,Arachne,Test,mIoU,-0.4739552191
car,Arachne,Test,mIoU,-0.4223230111
car,Arachne,Test,mIoU,-0.3638034154
car,Arachne,Test,mIoU,0.5288971903
car,Arachne,Test,mIoU,0.1976597594
car,Arachne,Test,mIoU,0.3690639652
dirt,Arachne,Test,mIoU,0.4887624522
dirt,Arachne,Test,mIoU,1.223203985
dirt,Arachne,Test,mIoU,-0.7847296829
dirt,Arachne,Test,mIoU,0.3455567409
dirt,Arachne,Test,mIoU,0.8793531826
dirt,Arachne,Test,mIoU,0.4231023519
dirt,Arachne,Test,mIoU,0.7123504696
dirt,Arachne,Test,mIoU,0.297390225
dirt,Arachne,Test,mIoU,0.8882598849
dirt,Arachne,Test,mIoU,0.4791835609
fence,Arachne,Test,mIoU,0.4715733838
fence,Arachne,Test,mIoU,0.5947062876
fence,Arachne,Test,mIoU,0.4128140685
fence,Arachne,Test,mIoU,0.5378083659
fence,Arachne,Test,mIoU,0.3694583445
fence,Arachne,Test,mIoU,0.1706842771
fence,Arachne,Test,mIoU,0.1444868391
fence,Arachne,Test,mIoU,0.1244305564
fence,Arachne,Test,mIoU,-0.9546292804
fence,Arachne,Test,mIoU,0.1274344119
